epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4587,1.25883,2.17441,1.0328,0.76241,0.58056,0.62106,0.3695,1.14372,1.23143,0.99326,0.00047373,0.00047373,0.00047373
2,138.053,1.17912,1.2112,1.01425,0.78741,0.69034,0.7226,0.41697,1.06839,0.78214,0.98301,0.000856007,0.000856007,0.000856007
3,203.997,1.13967,0.92168,1.0006,0.77721,0.71178,0.73476,0.42265,1.07044,0.71455,0.9806,0.00114397,0.00114397,0.00114397
4,269.315,1.07695,0.76207,0.98068,0.79395,0.7279,0.74646,0.4412,0.99335,0.65323,0.95992,0.00100459,0.00100459,0.00100459
5,336.102,1.01515,0.68452,0.96142,0.8487,0.75466,0.79458,0.48561,0.94194,0.60574,0.94131,0.000863116,0.000863116,0.000863116
6,401.146,0.97453,0.64112,0.94791,0.85857,0.75606,0.79495,0.48713,0.93415,0.57131,0.93665,0.000721645,0.000721645,0.000721645
7,466.109,0.92879,0.59668,0.93213,0.84601,0.7846,0.80395,0.49251,0.88153,0.55206,0.92389,0.000580174,0.000580174,0.000580174
8,531.408,0.89535,0.5682,0.92771,0.87683,0.78177,0.82191,0.52144,0.86168,0.53549,0.91772,0.000438703,0.000438703,0.000438703
9,601.592,0.86219,0.53621,0.91122,0.88271,0.80237,0.83767,0.52984,0.83869,0.51184,0.91278,0.000297232,0.000297232,0.000297232
10,670.461,0.82353,0.51229,0.89893,0.89546,0.79503,0.84886,0.54612,0.82184,0.50378,0.90506,0.000155761,0.000155761,0.000155761
