epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.60503,1.50948,3.16279,1.39174,0.00348,0.96,0.31988,0.1541,1.19714,3.25347,1.15963,0.00028,0.00028,0.00028
2,11.6528,1.31289,2.00295,1.22176,1,0.11949,0.60412,0.39297,1.10089,3.14879,1.17789,0.000568516,0.000568516,0.000568516
3,17.8197,1.39426,1.97222,1.28584,0.84814,0.44721,0.61731,0.21048,1.75953,3.29017,1.41998,0.000845152,0.000845152,0.000845152
4,22.0106,1.35401,1.91024,1.25539,0.63063,0.48,0.64997,0.38146,1.29785,2.48017,1.34664,0.00110991,0.00110991,0.00110991
5,26.2974,1.35084,1.79177,1.26754,0.29951,0.32,0.27426,0.12751,1.52328,3.82787,1.97051,0.00136278,0.00136278,0.00136278
6,31.2611,1.37449,1.67829,1.26132,0.90345,0.56,0.63743,0.32716,1.56939,3.16254,1.57228,0.00160378,0.00160378,0.00160378
7,35.3877,1.39094,1.67752,1.2536,0.76906,0.66645,0.67593,0.37721,1.55112,2.01947,1.61071,0.0017624,0.0017624,0.0017624
8,39.4538,1.41187,1.65408,1.2823,0.49393,0.6,0.52749,0.23456,1.72452,2.01387,1.77213,0.0017228,0.0017228,0.0017228
9,44.2852,1.33391,1.56008,1.21949,0.72486,0.64,0.72023,0.36685,1.41731,2.48471,1.63028,0.0016832,0.0016832,0.0016832
10,48.2406,1.25645,1.42384,1.19564,0.92692,0.64,0.75522,0.40799,1.49506,1.91492,1.60547,0.0016436,0.0016436,0.0016436
11,52.5016,1.31346,1.42959,1.20084,0.73732,0.68,0.73881,0.40699,1.46847,1.79802,1.58477,0.001604,0.001604,0.001604
12,57.2246,1.26294,1.38195,1.23046,0.84924,0.56,0.72803,0.39324,1.3558,2.01551,1.42399,0.0015644,0.0015644,0.0015644
13,61.3612,1.25548,1.32919,1.20898,0.7564,0.76,0.80596,0.45959,1.41193,1.68768,1.4007,0.0015248,0.0015248,0.0015248
14,65.28,1.24903,1.24379,1.19093,0.95199,0.79336,0.84122,0.50082,1.24981,1.52402,1.47707,0.0014852,0.0014852,0.0014852
15,70.6248,1.29204,1.31152,1.23325,0.69314,0.81346,0.80076,0.47437,1.47904,1.40221,1.47187,0.0014456,0.0014456,0.0014456
16,74.654,1.22277,1.18927,1.18608,0.95156,0.78615,0.88492,0.58412,1.15866,1.28927,1.34223,0.001406,0.001406,0.001406
17,79.9283,1.24711,1.26246,1.1853,0.88791,0.84,0.86036,0.52741,1.27967,1.6372,1.352,0.0013664,0.0013664,0.0013664
18,85.0545,1.18046,1.1462,1.16017,0.95501,0.88,0.91628,0.58143,1.22349,1.25688,1.39822,0.0013268,0.0013268,0.0013268
19,89.1974,1.2317,1.17175,1.20921,1,0.83605,0.88475,0.53577,1.32819,1.08381,1.33906,0.0012872,0.0012872,0.0012872
20,94.0309,1.15705,1.09017,1.14385,0.95234,0.79925,0.8377,0.53869,1.10443,1.18424,1.31447,0.0012476,0.0012476,0.0012476
21,98.3975,1.12306,1.0564,1.13191,0.93025,0.76,0.82862,0.51998,1.21369,1.31077,1.30112,0.001208,0.001208,0.001208
22,102.375,1.12179,1.02203,1.10515,0.95602,0.8699,0.88321,0.5755,1.14638,1.09987,1.31971,0.0011684,0.0011684,0.0011684
23,106.972,1.15348,1.01994,1.14527,0.95631,0.8758,0.8971,0.5945,1.16885,1.09361,1.2941,0.0011288,0.0011288,0.0011288
24,111.816,1.07337,0.97312,1.11125,0.95447,0.83869,0.88666,0.53119,1.25003,1.04335,1.39079,0.0010892,0.0010892,0.0010892
25,115.738,1.06133,0.9998,1.11413,0.89167,0.8,0.86193,0.54037,1.27993,1.1557,1.37873,0.0010496,0.0010496,0.0010496
26,120.436,1.10094,1.00513,1.13006,0.92788,0.84,0.89439,0.54647,1.28954,0.94866,1.32486,0.00101,0.00101,0.00101
27,125.244,1.04011,0.93132,1.08323,0.91537,0.84,0.89329,0.5778,1.14337,0.96782,1.31037,0.0009704,0.0009704,0.0009704
28,129.105,1.06338,0.91177,1.11696,0.93804,0.84,0.90815,0.55605,1.23452,0.93376,1.33373,0.0009308,0.0009308,0.0009308
29,133.682,1.01462,0.84528,1.0721,0.91628,0.88,0.92943,0.62492,1.01372,0.82423,1.22153,0.0008912,0.0008912,0.0008912
30,138.483,1.037,0.88693,1.09638,0.95651,0.87978,0.88229,0.57533,1.15392,0.89244,1.25224,0.0008516,0.0008516,0.0008516
31,142.418,0.97176,0.8076,1.06513,0.95068,0.84,0.87193,0.57466,1.19211,0.89619,1.33527,0.000812,0.000812,0.000812
32,146.901,0.9994,0.82822,1.08708,0.94683,0.8,0.87229,0.59579,1.10893,0.80645,1.32381,0.0007724,0.0007724,0.0007724
33,151.369,0.97132,0.84323,1.05479,0.90362,0.84,0.88063,0.60857,1.0702,0.76381,1.33676,0.0007328,0.0007328,0.0007328
34,155.457,0.98389,0.79463,1.05974,0.91593,0.87188,0.88004,0.61582,1.07095,0.81801,1.37441,0.0006932,0.0006932,0.0006932
35,159.806,0.91966,0.73237,1.03492,0.95127,0.88,0.91823,0.65468,1.04883,0.75759,1.29507,0.0006536,0.0006536,0.0006536
36,164.699,0.90459,0.74174,1.02059,0.94975,0.88,0.92363,0.6266,1.07504,0.7303,1.33385,0.000614,0.000614,0.000614
37,168.553,0.93247,0.74185,1.04762,0.8807,0.92,0.88705,0.61235,1.17208,0.71951,1.4506,0.0005744,0.0005744,0.0005744
38,172.884,0.91972,0.7297,1.03434,0.87913,0.92,0.92197,0.61965,1.10292,0.74429,1.38607,0.0005348,0.0005348,0.0005348
39,177.729,0.92521,0.75353,1.05422,0.94668,0.84,0.92612,0.63256,1.06515,0.72666,1.32763,0.0004952,0.0004952,0.0004952
40,181.586,0.89803,0.73502,1.02782,0.95788,0.91,0.937,0.65022,1.09642,0.66645,1.31414,0.0004556,0.0004556,0.0004556
41,189.178,0.81267,0.64291,0.98029,0.95632,0.87585,0.92541,0.62566,1.1101,0.64443,1.32285,0.000416,0.000416,0.000416
42,193.367,0.81253,0.65708,0.97687,0.88289,0.90506,0.919,0.62815,1.07183,0.6996,1.31231,0.0003764,0.0003764,0.0003764
43,197.418,0.76433,0.60775,0.95454,0.95172,0.88,0.93688,0.64446,1.0945,0.65821,1.25467,0.0003368,0.0003368,0.0003368
44,202.043,0.8006,0.60096,0.9546,0.95623,0.87405,0.91743,0.66852,0.96011,0.68272,1.22903,0.0002972,0.0002972,0.0002972
45,206.077,0.7688,0.61198,0.94743,0.94838,0.92,0.93867,0.67407,0.98555,0.68312,1.23083,0.0002576,0.0002576,0.0002576
46,210.165,0.77285,0.57162,0.94043,0.94549,0.92,0.942,0.65977,1.05132,0.69755,1.24143,0.000218,0.000218,0.000218
47,214.851,0.71366,0.56462,0.92524,0.95647,0.87904,0.94119,0.66812,0.98299,0.63474,1.25025,0.0001784,0.0001784,0.0001784
48,219.259,0.71327,0.54377,0.90863,0.95789,0.91024,0.9431,0.65541,0.98945,0.62054,1.21996,0.0001388,0.0001388,0.0001388
49,223.128,0.71789,0.56886,0.92898,0.92125,0.93628,0.94859,0.67142,0.98606,0.62248,1.2266,9.92e-05,9.92e-05,9.92e-05
50,227.279,0.69467,0.55514,0.9304,0.93273,0.92,0.94722,0.67593,1.00463,0.65863,1.23246,5.96e-05,5.96e-05,5.96e-05
